iter	Passed	Remaining
209	2853	10733
210	2866	10719
211	2880	10706
212	2893	10691
213	2906	10673
214	2919	10657
215	2932	10644
216	2946	10631
217	2959	10617
218	2972	10600
219	2985	10583
220	2996	10563
221	3009	10546
222	3021	10528
223	3034	10511
224	3045	10491
225	3059	10479
226	3072	10463
227	3086	10449
228	3099	10433
229	3112	10419
230	3127	10410
231	3140	10396
232	3154	10383
233	3167	10370
234	3179	10350
235	3192	10335
236	3206	10322
237	3219	10307
238	3233	10295
239	3246	10279
240	3259	10264
241	3271	10246
242	3285	10234
243	3299	10222
244	3312	10208
245	3325	10193
246	3338	10179
247	3352	10164
248	3364	10148
249	3378	10135
250	3395	10131
251	3407	10115
252	3421	10100
253	3433	10085
254	3445	10066
255	3459	10055
256	3472	10038
257	3486	10025
258	3497	10006
259	3509	9989
260	3521	9971
261	3533	9953
262	3544	9934
263	3557	9916
264	3569	9901
265	3582	9886
266	3594	9868
267	3606	9851
268	3619	9837
269	3632	9821
270	3644	9804
271	3657	9789
272	3669	9772
273	3682	9757
274	3694	9739
275	3706	9722
276	3718	9706
277	3731	9690
278	3744	9676
279	3759	9667
280	3772	9653
281	3785	9637
282	3798	9624
283	3812	9611
284	3824	9595
285	3837	9580
286	3850	9566
287	3863	9552
288	3877	9538
289	3890	9525
290	3903	9510
291	3917	9498
292	3930	9485
293	3945	9473
294	3957	9456
295	3969	9441
296	3982	9426
297	3995	9411
298	4007	9394
299	4020	9380
300	4033	9366
301	4046	9351
302	4058	9335
303	4071	9321
304	4083	9306
305	4097	9292
306	4111	9280
307	4125	9269
308	4138	9255
309	4151	9240
310	4164	9227
311	4178	9214
312	4191	9199
313	4204	9185
314	4216	9168
315	4228	9153
316	4241	9137
317	4253	9121
318	4265	9106
319	4278	9091
320	4292	9079
321	4305	9064
322	4317	9050
323	4331	9037
324	4343	9022
325	4357	9008
326	4368	8991
327	4382	8978
328	4394	8963
329	4406	8947
330	4419	8932
331	4432	8917
332	4446	8905
333	4458	8890
334	4470	8874
335	4483	8860
336	4496	8846
337	4508	8830
338	4522	8819
339	4535	8803
340	4548	8790
341	4561	8775
342	4572	8759
343	4585	8744
344	4597	8728
345	4609	8712
346	4623	8700
347	4636	8686
348	4649	8673
349	4662	8659
350	4676	8645
351	4688	8631
352	4701	8617
353	4714	8603
354	4726	8587
355	4739	8573
356	4753	8561
357	4765	8545
358	4777	8530
359	4789	8515
360	4802	8501
361	4815	8487
362	4828	8473
363	4842	8461
364	4856	8449
365	4871	8438
366	4885	8426
367	4898	8412
368	4911	8398
369	4924	8384
370	4936	8369
371	4949	8354
372	4962	8341
373	4976	8328
374	4987	8313
375	5000	8299
376	5014	8286
377	5025	8268
378	5037	8254
379	5050	8240
380	5063	8226
381	5075	8210
382	5088	8197
383	5102	8185
384	5116	8173
385	5129	8159
386	5143	8147
387	5159	8137
388	5171	8123
389	5186	8112
390	5199	8098
391	5212	8085
392	5225	8071
393	5240	8059
394	5251	8044
395	5262	8027
396	5276	8014
397	5289	8000
398	5301	7984
399	5314	7971
400	5327	7958
401	5339	7943
402	5352	7929
403	5365	7915
404	5377	7900
405	5390	7886
406	5403	7872
407	5415	7858
408	5427	7843
409	5441	7830
410	5454	7816
411	5466	7802
412	5479	7787
413	5491	7773
414	5504	7759
415	5516	7744
416	5530	7732
417	5543	7718
418	5556	7704
419	5567	7688
420	5579	7673
421	5592	7660
422	5605	7646
423	5619	7633
424	5632	7620
425	5644	7605
426	5656	7590
427	5668	7575
428	5681	7562
429	5694	7548
430	5706	7534
431	5718	7519
432	5731	7505
433	5742	7489
434	5755	7475
435	5767	7460
436	5780	7447
437	5793	7433
438	5806	7420
439	5818	7405
440	5831	7391
441	5844	7378
442	5860	7368
443	5872	7354
444	5886	7341
445	5897	7326
446	5911	7313
447	5923	7299
448	5936	7284
449	5949	7271
450	5962	7257
451	5975	7244
452	5988	7231
453	6001	7217
454	6014	7204
455	6026	7189
456	6039	7175
457	6051	7160
458	6064	7148
459	6077	7134
460	6090	7121
461	6103	7107
462	6115	7092
463	6128	7079
464	6140	7064
465	6152	7050
466	6165	7037
467	6178	7023
468	6192	7010
469	6204	6996
470	6216	6981
471	6228	6967
472	6240	6953
473	6253	6939
474	6265	6924
475	6277	6910
476	6290	6896
477	6304	6884
478	6315	6869
479	6327	6855
480	6341	6842
481	6353	6828
482	6365	6814
483	6378	6800
484	6389	6784
485	6400	6769
486	6413	6755
487	6426	6743
488	6439	6729
489	6452	6715
490	6464	6701
491	6477	6688
492	6489	6674
493	6502	6660
494	6515	6647
495	6528	6633
496	6540	6619
497	6552	6605
498	6564	6591
499	6577	6577
500	6588	6562
501	6600	6548
502	6612	6533
503	6624	6519
504	6636	6505
505	6649	6491
506	6662	6478
507	6675	6464
508	6687	6451
509	6700	6437
510	6713	6424
511	6726	6410
512	6738	6397
513	6751	6383
514	6764	6370
515	6775	6355
516	6788	6341
517	6801	6328
518	6813	6314
519	6823	6299
520	6836	6285
521	6850	6272
522	6864	6260
523	6877	6247
524	6889	6233
525	6901	6219
526	6914	6206
527	6927	6193
528	6940	6179
529	6952	6165
530	6965	6151
531	6977	6138
532	6990	6124
533	7003	6111
534	7016	6098
535	7029	6084
536	7042	6071
537	7054	6058
538	7067	6044
539	7080	6031
540	7092	6017
541	7103	6002
542	7117	5989
543	7129	5976
544	7143	5963
545	7156	5950
546	7168	5936
547	7181	5923
548	7194	5909
549	7206	5896
550	7219	5883
551	7232	5870
552	7246	5857
553	7259	5844
554	7272	5830
555	7286	5818
556	7298	5804
557	7311	5791
558	7325	5779
559	7339	5766
560	7354	5754
561	7367	5741
562	7382	5730
563	7393	5715
564	7406	5702
565	7419	5688
566	7432	5675
567	7445	5662
568	7457	5649
569	7470	5635
570	7483	5622
571	7497	5609
572	7510	5596
573	7523	5583
574	7535	5569
575	7547	5555
576	7561	5543
577	7572	5528
578	7585	5515
579	7598	5502
580	7611	5489
581	7624	5475
582	7635	5461
583	7650	5449
584	7663	5436
585	7676	5423
586	7689	5409
587	7702	5396
588	7715	5383
589	7728	5370
590	7738	5355
591	7751	5342
592	7764	5329
593	7776	5315
594	7788	5301
595	7801	5288
596	7814	5275
597	7827	5261
598	7841	5249
599	7855	5236
600	7868	5223
601	7882	5211
602	7895	5198
603	7908	5184
604	7921	5172
605	7934	5158
606	7948	5146
607	7961	5133
608	7975	5120
609	7987	5106
610	8001	5094
611	8014	5080
612	8026	5067
613	8040	5054
614	8053	5041
615	8066	5028
616	8079	5015
617	8092	5002
618	8105	4988
619	8118	4975
620	8131	4962
621	8144	4949
622	8156	4936
623	8169	4922
624	8184	4910
625	8196	4897
626	8210	4884
627	8223	4871
628	8236	4858
629	8249	4844
630	8262	4831
631	8276	4819
632	8289	4805
633	8302	4793
634	8315	4779
635	8329	4766
636	8343	4754
637	8357	4741
638	8371	4729
639	8386	4717
640	8399	4704
641	8413	4691
642	8427	4679
643	8443	4667
644	8457	4654
645	8473	4643
646	8486	4630
647	8499	4617
648	8514	4604
649	8527	4591
650	8542	4579
651	8556	4567
652	8570	4554
653	8584	4541
654	8597	4528
655	8610	4515
656	8623	4502
657	8637	4489
658	8650	4476
659	8664	4463
660	8677	4450
661	8690	4436
662	8703	4424
663	8715	4410
664	8728	4397
665	8741	4383
666	8754	4370
667	8767	4357
668	8781	4344
669	8794	4331
670	8807	4318
671	8819	4304
672	8833	4292
673	8846	4278
674	8859	4265
675	8873	4252
676	8885	4239
677	8897	4225
678	8911	4212
679	8924	4199
680	8938	4187
681	8951	4173
682	8964	4160
683	8976	4146
684	8989	4133
685	9002	4120
686	9013	4106
687	9026	4093
688	9039	4080
689	9052	4066
690	9065	4053
691	9080	4041
692	9093	4028
693	9106	4015
694	9119	4002
695	9133	3989
696	9146	3976
697	9159	3962
698	9171	3949
699	9183	3935
700	9196	3922
701	9209	3909
702	9221	3895
703	9234	3882
704	9247	3869
705	9259	3856
706	9272	3842
707	9286	3829
708	9300	3817
709	9313	3803
710	9326	3790
711	9338	3777
712	9351	3764
713	9363	3750
714	9376	3737
715	9389	3724
716	9402	3711
717	9414	3697
718	9427	3684
719	9439	3671
720	9452	3657
721	9464	3644
722	9477	3631
723	9490	3618
724	9503	3604
725	9516	3591
726	9529	3578
727	9540	3564
728	9553	3551
729	9565	3538
730	9579	3525
731	9592	3511
732	9605	3498
733	9618	3485
734	9630	3472
735	9644	3459
736	9657	3446
737	9670	3433
738	9683	3420
739	9696	3406
740	9709	3393
741	9722	3380
742	9735	3367
743	9748	3354
744	9760	3340
745	9773	3327
746	9786	3314
747	9798	3301
748	9811	3287
749	9825	3275
750	9838	3261
751	9850	3248
752	9863	3235
753	9876	3222
754	9889	3209
755	9901	3195
756	9915	3182
757	9928	3169
758	9940	3156
759	9953	3143
760	9966	3130
761	9978	3116
762	9991	3103
763	10005	3090
764	10018	3077
765	10030	3064
766	10043	3051
767	10057	3038
768	10070	3024
769	10083	3011
770	10097	2999
771	10110	2985
772	10123	2972
773	10136	2959
774	10147	2946
775	10160	2932
776	10173	2919
777	10186	2906
778	10199	2893
779	10212	2880
780	10225	2867
781	10238	2854
782	10251	2841
783	10264	2827
784	10275	2814
785	10287	2800
786	10300	2787
787	10313	2774
788	10326	2761
789	10339	2748
790	10352	2735
791	10366	2722
792	10379	2709
793	10392	2696
794	10405	2683
795	10418	2670
796	10431	2656
797	10445	2644
798	10458	2631
799	10471	2617
800	10483	2604
801	10497	2591
802	10510	2578
803	10522	2565
804	10535	2552
805	10548	2539
806	10561	2525
807	10573	2512
808	10587	2499
809	10600	2486
810	10614	2473
811	10627	2460
812	10640	2447
813	10652	2434
814	10668	2421
815	10681	2408
816	10695	2395
817	10708	2382
818	10723	2369
819	10736	2356
820	10750	2343
821	10763	2330
822	10777	2317
823	10790	2304
824	10804	2291
825	10819	2279
826	10831	2265
827	10845	2252
828	10858	2239
829	10873	2227
830	10887	2214
831	10900	2201
832	10912	2187
833	10925	2174
834	10941	2162
835	10954	2148
836	10966	2135
837	10979	2122
838	10993	2109
839	11006	2096
840	11019	2083
841	11032	2070
842	11045	2057
843	11058	2044
844	11071	2030
845	11084	2017
846	11096	2004
847	11109	1991
848	11121	1977
849	11133	1964
850	11146	1951
851	11160	1938
852	11173	1925
853	11185	1912
854	11198	1899
855	11211	1886
856	11224	1872
857	11236	1859
858	11250	1846
859	11263	1833
860	11276	1820
861	11288	1807
862	11302	1794
863	11315	1781
864	11329	1768
865	11343	1755
866	11356	1742
867	11368	1728
868	11381	1715
869	11394	1702
870	11406	1689
871	11419	1676
872	11431	1662
873	11443	1649
874	11455	1636
875	11468	1623
876	11480	1610
877	11494	1597
878	11506	1583
879	11519	1570
880	11531	1557
881	11544	1544
882	11556	1531
883	11569	1518
884	11583	1505
885	11596	1492
886	11610	1479
887	11623	1466
888	11636	1452
889	11649	1439
890	11663	1426
891	11676	1413
892	11691	1400
893	11704	1387
894	11717	1374
895	11729	1361
896	11741	1348
897	11754	1335
898	11767	1322
899	11781	1309
900	11794	1295
901	11808	1282
902	11822	1269
903	11836	1256
904	11851	1244
905	11866	1231
906	11881	1218
907	11897	1205
908	11911	1192
909	11925	1179
910	11938	1166
911	11951	1153
912	11965	1140
913	11979	1127
914	11993	1114
915	12007	1101
916	12022	1088
917	12035	1075
918	12051	1062
919	12067	1049
920	12086	1036
921	12100	1023
922	12116	1010
923	12134	998
924	12151	985
925	12168	972
926	12184	959
927	12201	946
928	12217	933
929	12233	920
930	12250	907
931	12274	895
932	12293	882
933	12314	870
934	12329	857
935	12344	844
936	12362	831
937	12378	818
938	12393	805
939	12408	792
940	12424	779
941	12441	766
942	12457	753
943	12475	740
944	12494	727
945	12510	714
946	12526	701
947	12541	687
948	12556	674
949	12571	661
950	12585	648
951	12598	635
952	12611	621
953	12626	608
954	12641	595
955	12656	582
956	12671	569
957	12685	556
958	12699	542
959	12713	529
960	12726	516
961	12740	503
962	12753	490
963	12768	476
964	12781	463
965	12795	450
966	12811	437
967	12824	423
968	12838	410
969	12852	397
970	12866	384
971	12881	371
972	12894	357
973	12908	344
974	12922	331
975	12936	318
976	12950	304
977	12963	291
978	12977	278
979	12989	265
980	13003	251
981	13017	238
982	13031	225
983	13045	212
984	13057	198
985	13070	185
986	13082	172
987	13095	159
988	13107	145
989	13120	132
990	13135	119
991	13149	106
992	13163	92
993	13183	79
994	13199	66
995	13214	53
996	13232	39
997	13247	26
998	13264	13
999	13278	0
