iter	RMSE
399	2099176.927
400	2098557.901
401	2097560.091
402	2097097.332
403	2095968.439
404	2095856.105
405	2094952.789
406	2094171.085
407	2093112.44
408	2092240.16
409	2090840.868
410	2089897.176
411	2088744.855
412	2088111.935
413	2087462.919
414	2086638.94
415	2085399.8
416	2084374.087
417	2083340.07
418	2082871.404
419	2082663.829
420	2081815.462
421	2080936.109
422	2080044.781
423	2078970.21
424	2077859.204
425	2077454.699
426	2077312.531
427	2077062.204
428	2075867.066
429	2074734.551
430	2074389.693
431	2074265.981
432	2073088.397
433	2072955.53
434	2072027.304
435	2071363.797
436	2070036.304
437	2069186.627
438	2068000.922
439	2067788.07
440	2067207.694
441	2066389.687
442	2065538.723
443	2064736.683
444	2063646.599
445	2063533.054
446	2062849.746
447	2062673.937
448	2061972.295
449	2061212.721
450	2060366.423
451	2059604.825
452	2058797.614
453	2058351.444
454	2057431.984
455	2057311.326
456	2056536.441
457	2056037.506
458	2055043.096
459	2054699.194
460	2053492.626
461	2052619.906
462	2052429.459
463	2051327.657
464	2049966.342
465	2049358.225
466	2048654.481
467	2047787.515
468	2046463.064
469	2046073.244
470	2045075.82
471	2044361.073
472	2043294.548
473	2042579.185
474	2042502.952
475	2041916.656
476	2040999.192
477	2040403.742
478	2040266.961
479	2039667.462
480	2038861.39
481	2037813.249
482	2037274.825
483	2036080.323
484	2035984.12
485	2035893.028
486	2035152.165
487	2034367.339
488	2033792.368
489	2033257.154
490	2031970.756
491	2031199.064
492	2030338.222
493	2029479.722
494	2028721.27
495	2027866.508
496	2027325.349
497	2026210.34
498	2025364.293
499	2023947.454
500	2023909.818
501	2023149.983
502	2022538.436
503	2022497.787
504	2022076.545
505	2021775.619
506	2021031.43
507	2020011.907
508	2019125.642
509	2018287.511
510	2017473.47
511	2017219.275
512	2016410.035
513	2015496.363
514	2014181.691
515	2013931.47
516	2013461.542
517	2012651.178
518	2011982.975
519	2011944.046
520	2010524.186
521	2010049.409
522	2009174.903
523	2008785.974
524	2008254.827
525	2007379.343
526	2006758.662
527	2005972.066
528	2005011.54
529	2003816.859
530	2003744.934
531	2003389.68
532	2002776.721
533	2002156.836
534	2001382.002
535	2000718.295
536	2000219.097
537	1999649.751
